iter	F1:use_weights=true	Logloss:use_weights=true
0	0.6273475917	0.6033831854
1	0.6418932824	0.5239026552
2	0.6038288907	0.4656880365
3	0.6065503781	0.4075391711
4	0.6031192661	0.3600535505
5	0.6021347524	0.3149595878
6	0.6066038599	0.2820749142
7	0.6093745235	0.2477875517
8	0.6089539441	0.2180424848
9	0.6125961743	0.1935094029
10	0.6125452279	0.1748790649
11	0.616507648	0.155573544
12	0.6181202371	0.1383177721
13	0.6182556273	0.124536811
14	0.6247024437	0.1115631861
15	0.6297398887	0.1011884589
16	0.6325550687	0.09163051399
17	0.6340408923	0.08397696569
18	0.6375082439	0.07749731483
19	0.6392166257	0.07122028863
20	0.6413661104	0.06620798648
21	0.6439898462	0.06147524362
22	0.6447757626	0.05776923877
23	0.6468621246	0.05572177438
24	0.6487324784	0.05461277289
25	0.6518324607	0.05195682362
26	0.6526910497	0.05028736364
27	0.6542289296	0.04742797345
28	0.6579025461	0.04503413894
29	0.660361135	0.04295009902
30	0.662617044	0.0410473966
31	0.6641180654	0.03940294063
32	0.6669230542	0.0379266566
33	0.6691920687	0.03654655626
34	0.6707695949	0.03531698055
35	0.6727627841	0.03421331303
36	0.6755678965	0.03315253814
37	0.6759855783	0.03220010627
38	0.6781371739	0.03182519753
39	0.6792820452	0.03097828768
40	0.6806551571	0.03029108932
41	0.6829858141	0.02958417216
42	0.683873632	0.02929046678
43	0.6855642735	0.02866231444
44	0.6863340308	0.02836019995
45	0.6877670704	0.02780469811
46	0.6886492221	0.02741939349
47	0.6905196257	0.02707424263
48	0.6922986548	0.02662681173
49	0.6933395955	0.02641673028
50	0.6935564362	0.02619583455
51	0.6945537865	0.02582871886
52	0.6950571236	0.02546330246
53	0.6963845522	0.02515146461
54	0.6966087773	0.02495885337
55	0.6975558291	0.02467776165
56	0.6986265265	0.02439565859
57	0.699370701	0.02423148842
58	0.700184259	0.02399574583
59	0.7007337679	0.02383525144
60	0.7010020157	0.02364097172
61	0.7027121712	0.02340723644
62	0.7037987979	0.02329261996
63	0.7039402689	0.02314379462
64	0.7051861353	0.02301404379
65	0.7052892321	0.02282456415
66	0.7061565805	0.02270279376
67	0.7076896221	0.0225806178
68	0.7084993167	0.0224677699
69	0.7097242802	0.02229926427
70	0.7110053125	0.02218945299
71	0.7125290023	0.02210904023
72	0.7141905782	0.0220147894
73	0.7146248263	0.02186622845
74	0.715615963	0.02176844815
75	0.716864512	0.02168229327
76	0.7175281548	0.02155327914
77	0.7180167961	0.02147220155
78	0.7189689473	0.02139217126
79	0.7193821682	0.02132802869
80	0.7204078106	0.02123961624
81	0.7210038566	0.02113607714
82	0.7210359712	0.02102719379
83	0.7216963489	0.02095438286
84	0.7229040324	0.02087233114
85	0.7235191087	0.02081969591
86	0.7249469397	0.02071428684
87	0.7252343952	0.02062433425
88	0.7255789956	0.02053789702
89	0.7263769942	0.02050169241
90	0.7271113148	0.02043854836
91	0.7275017174	0.02037839857
92	0.7275329136	0.02035229465
93	0.728120886	0.02028151284
94	0.7284067176	0.02024460875
95	0.7291797656	0.02015867848
96	0.7303364369	0.02008411308
97	0.7310183468	0.0200147315
98	0.7312772817	0.01995368844
99	0.7314930991	0.01989418551
100	0.7319158639	0.01983909891
101	0.7325468741	0.01976791281
102	0.7334566671	0.01970245857
103	0.7336217201	0.01966140255
104	0.733598862	0.01961359434
105	0.7335931499	0.01957921992
106	0.7341620914	0.01952005325
107	0.7346474386	0.01945371857
108	0.7348935081	0.0194079459
109	0.7352857549	0.01935423899
110	0.7352916086	0.01934680273
111	0.7360254625	0.01928127405
112	0.7362590541	0.01922052361
113	0.7366626896	0.0191719877
114	0.7373112297	0.0191194115
115	0.7378811516	0.01907376846
116	0.7384423393	0.01903811189
117	0.7388444747	0.01898958495
118	0.7392376364	0.01894367496
119	0.7401409846	0.01891997107
120	0.7404765948	0.01890492528
121	0.7415241058	0.01885572968
122	0.7420412779	0.01880374002
123	0.7423904135	0.0187608936
124	0.7433253284	0.01871249629
125	0.7437381752	0.01866510905
126	0.7441939216	0.01861877681
127	0.7445902102	0.01857726645
128	0.7452196965	0.0185403675
129	0.7457856458	0.0185020619
130	0.7460120625	0.01845768305
131	0.7465983041	0.018415676
132	0.7470707526	0.01837448907
133	0.7477345641	0.01833522088
134	0.7477698044	0.01830149203
135	0.7480512171	0.01826143325
136	0.7487554493	0.01822298518
137	0.749297042	0.01818400321
138	0.7497048406	0.01814500968
139	0.7498665168	0.01811402354
140	0.7500491642	0.01808163332
141	0.7502738533	0.0180536774
142	0.7507930715	0.01801421669
143	0.7515083485	0.01797890408
144	0.7519290665	0.0179442165
145	0.75213867	0.01791621565
146	0.7526634518	0.01788202861
147	0.7530407488	0.01784808928
148	0.7535720289	0.01781421026
149	0.7542140337	0.01777848694
150	0.7546683838	0.01774998299
151	0.754918698	0.01772117742
152	0.7554971186	0.0176819426
153	0.7562517483	0.01764186714
154	0.7567794241	0.01761401773
155	0.7570498309	0.01758377343
156	0.7574860335	0.01755513471
157	0.7575630604	0.01752258534
158	0.7579311886	0.01749052882
159	0.7583742742	0.01746233802
160	0.7582067887	0.01743623923
161	0.75898237	0.01740217412
162	0.7593651502	0.01737378439
163	0.7595593362	0.01734121192
164	0.7601683811	0.01730685033
165	0.7603467016	0.01727953741
166	0.7607344869	0.01724940091
167	0.7611220993	0.01722029887
168	0.7610639187	0.01719320541
169	0.7614433679	0.0171608845
170	0.7616847145	0.01713042072
171	0.7624269413	0.01709966561
172	0.76262556	0.01707285323
173	0.7629646116	0.0170484627
174	0.7630890781	0.01701798481
175	0.7636930095	0.01699051915
176	0.7638861847	0.01696278141
177	0.7640549408	0.01693420943
178	0.7644721118	0.01690662442
179	0.7651144699	0.01688049868
180	0.7652990361	0.01685569873
181	0.765581602	0.01682909298
182	0.7657920311	0.01679797209
183	0.7663603298	0.01677243545
184	0.766497321	0.01674856343
185	0.766878486	0.01672229651
186	0.7671605349	0.01669812802
187	0.7673915455	0.01667304186
188	0.7673147866	0.01664683142
189	0.7677333481	0.01661774093
190	0.7681605277	0.01659791047
191	0.7685103081	0.01657386775
192	0.7689750693	0.01653497305
193	0.7690688528	0.01651184671
194	0.7693372843	0.01649150159
195	0.7698355573	0.01646561842
196	0.7707082169	0.01643472341
197	0.7710736714	0.0164085104
198	0.771443587	0.01638481935
199	0.7715455249	0.01635777851
200	0.7720850499	0.01632834791
201	0.7722974841	0.01630602244
202	0.7724923298	0.01628690172
203	0.77266195	0.01626202734
204	0.7728189681	0.01623595037
205	0.7731329263	0.01621214381
206	0.773853249	0.01617816725
207	0.7742719117	0.01615409245
208	0.7742932862	0.01612968524
209	0.7746191212	0.01611107662
210	0.7746012473	0.01609346651
211	0.7749910328	0.01606917481
212	0.7753627186	0.01604594195
213	0.7757285033	0.01601970968
214	0.7761333885	0.01599856626
