iter	Passed	Remaining
0	1283	12833222
1	2553	12764328
2	3848	12823050
3	5126	12811644
4	6423	12840630
5	7737	12887700
6	9063	12938186
7	10390	12977226
8	11737	13029741
9	13083	13070447
10	14412	13087856
11	15686	13056291
12	17032	13084599
13	18304	13056089
14	19648	13079186
15	20965	13082554
16	22258	13070932
17	23582	13077789
18	24885	13072862
19	26176	13061956
20	27526	13080523
21	28855	13087170
22	30222	13109879
23	31533	13107466
24	32834	13100861
25	34110	13085201
26	35426	13085456
27	36727	13080378
28	38016	13071009
29	39337	13073253
30	40627	13064901
31	41952	13068199
32	43303	13078824
33	44671	13093883
34	46017	13101724
35	47332	13100599
36	48639	13097151
37	49980	13102698
38	51348	13114931
39	52656	13111397
40	53947	13103979
41	55291	13109430
42	56584	13102618
43	57891	13099237
44	59254	13108392
45	60595	13112321
46	61868	13101577
47	63157	13094739
48	64447	13088166
49	65758	13085957
50	67053	13080783
51	68425	13090400
52	69699	13081159
53	71044	13085278
54	72369	13085795
55	73670	13081689
56	75035	13089068
57	76370	13090912
58	77668	13086566
59	78958	13080858
60	80279	13080342
61	81601	13079940
62	82915	13078221
63	84281	13084718
64	85631	13088441
65	86988	13093078
66	88316	13093229
67	89604	13087545
68	90908	13084237
69	92294	13092594
70	93646	13096009
71	95006	13100330
72	96333	13099999
73	96812	12985968
74	98132	12986234
75	99536	12997309
76	100883	13000897
77	102210	13001700
78	103578	13007681
79	104895	13007013
80	106222	13007709
81	107547	13008023
82	108942	13016643
83	110246	13014361
84	111519	13008365
85	112877	13012426
86	114236	13016398
87	114309	12875447
88	115618	12875175
89	116950	12877528
90	118332	12885283
91	119632	12883937
92	120936	12883032
93	122186	12876372
94	123474	12873829
95	124802	12875501
96	126140	12878016
97	127447	12877414
98	128739	12875292
99	130027	12872763
100	131307	12869441
101	132681	12875280
102	134009	12876635
103	135424	12886203
104	136748	12886964
105	138083	12888695
106	139444	12892768
107	140766	12893212
108	142128	12897214
109	143448	12897300
110	143530	12787164
111	144866	12789680
112	146195	12791423
113	147577	12797818
114	148931	12801598
115	150297	12806367
116	151645	12809544
117	153010	12814015
118	154345	12815904
119	155695	12818936
120	157008	12818913
121	158341	12820508
122	159621	12817698
123	161004	12823204
124	162288	12820802
125	163645	12824128
126	164984	12825949
127	166330	12828214
128	167649	12828427
129	169035	12833677
130	170330	12831992
131	171624	12830237
132	172979	12832973
133	174246	12829234
134	175573	12829866
135	176894	12830032
136	178203	12829386
137	179528	12829785
138	180828	12828450
139	182168	12829838
140	183465	12828267
141	184712	12823212
142	186033	12823303
143	187361	12823869
144	188654	12822009
145	189990	12823046
146	191369	12826979
147	192710	12828278
148	194036	12828529
149	195378	12829874
150	196654	12826809
151	197989	12827610
152	199300	12826867
153	200666	12829654
154	201947	12826893
155	203296	12828509
156	204647	12830195
157	205940	12828251
158	207264	12828268
159	208569	12826997
160	209897	12827188
161	211199	12825815
162	212492	12823841
163	213760	12820396
164	215080	12820114
165	216404	12819992
166	217744	12820822
167	219082	12821543
168	220411	12821706
169	221721	12820693
170	223028	12819556
171	224334	12818379
172	225659	12818224
173	226958	12816625
174	228267	12815588
175	229648	12818564
176	231005	12820157
177	232282	12817307
178	233613	12817441
179	235043	12822940
180	236345	12821400
181	237626	12818797
182	238937	12817755
183	240293	12819115
184	241655	12820808
185	243048	12824053
186	244336	12821760
187	245677	12822288
188	246963	12819871
189	248311	12820711
190	249591	12818017
191	250914	12817525
192	252241	12817288
193	253519	12814477
194	254847	12814231
195	256198	12815164
196	257487	12812919
197	258740	12808981
198	260055	12808049
199	261358	12806585
200	262671	12805564
201	263992	12804951
202	265294	12803412
203	266558	12800037
204	267844	12797754
205	269137	12795776
206	270458	12795181
207	271760	12793655
208	273080	12792990
209	274405	12792512
210	275702	12790757
211	277072	12792388
212	278372	12790767
213	279707	12790729
214	281018	12789588
215	282369	12790305
216	283669	12788679
217	284939	12785658
218	286227	12783502
219	287514	12781325
220	288821	12780025
221	290143	12779362
222	291451	12778122
223	292727	12775445
224	294049	12774811
225	295398	12775342
226	296738	12775433
227	298041	12773966
228	299380	12773990
229	300686	12772658
230	302015	12772235
231	303315	12770648
232	304618	12769152
233	305935	12768235
234	307267	12767951
235	308585	12767089
236	309908	12766393
237	311257	12766807
238	312556	12765136
239	313913	12765800
240	315211	12764086
241	316509	12762382
242	317841	12762040
243	319157	12761053
244	320526	12762191
245	321864	12762065
246	323203	12761939
247	324499	12760171
248	325807	12758838
249	327103	12757053
250	328429	12756392
251	329766	12756187
252	331063	12754459
253	332457	12756425
254	333794	12756195
255	335122	12755597
256	336530	12758027
257	337921	12759819
258	339275	12760150
259	340558	12757855
260	341877	12756876
261	343253	12758039
262	344582	12757404
263	346020	12760809
264	347369	12760923
265	348685	12759786
266	349989	12758241
267	351328	12757946
268	352726	12759770
269	353975	12756235
270	355319	12756084
271	356651	12755549
272	358000	12755560
273	359308	12754127
274	360620	12752866
275	361927	12751381
276	363257	12750738
277	364605	12750709
278	365936	12750073
279	367305	12750764
280	368674	12751425
281	370017	12751175
282	371349	12750535
283	372645	12748684
284	373962	12747515
285	375313	12747550
286	376688	12748332
287	378029	12747981
288	379347	12746847
289	380634	12744707
290	381981	12744528
291	383301	12743473
292	384602	12741758
293	385914	12740421
294	387212	12738621
295	388534	12737636
296	389878	12737331
297	391164	12735166
298	392432	12732393
299	393757	12731479
300	395080	12730505
301	396359	12728132
302	397768	12729896
303	399101	12729249
304	400381	12726895
305	401684	12725255
306	402999	12724021
307	404315	12722796
308	405590	12720313
309	406913	12719318
310	408210	12717540
311	409541	12716782
312	410875	12716142
313	412147	12713575
314	413434	12711474
315	414751	12710303
316	416045	12708424
317	417335	12706412
318	418621	12704315
319	419931	12702939
320	421229	12701189
321	422504	12698765
