iter	Passed	Remaining
0	912	181490
1	1418	140385
2	1860	122143
3	2289	112182
4	2759	107636
5	3232	104506
6	3638	100315
7	4125	99010
8	4572	97032
9	4989	94799
10	5386	92558
11	5794	90776
12	6173	88803
13	6569	87278
14	7042	86851
15	7487	86107
16	7970	85802
17	8457	85518
18	8908	84863
19	9434	84912
20	9977	85044
21	10492	84895
22	11009	84724
23	11501	84342
24	11954	83679
25	12416	83094
26	13006	83335
27	13516	83027
28	14050	82847
29	14559	82505
30	15175	82730
31	15681	82328
32	16290	82439
33	16811	82078
34	17265	81396
35	17763	80923
36	18329	80747
37	18880	80490
38	19420	80173
39	19929	79716
40	20430	79230
41	21080	79301
42	21616	78923
43	22164	78584
44	22661	78054
45	23117	77392
46	23617	76883
47	24049	76157
48	24545	75639
49	25182	75548
50	25660	74967
51	26220	74627
52	26730	74139
53	27276	73747
54	27751	73163
55	28278	72716
56	28809	72275
57	29347	71850
58	29812	71247
59	30350	70818
60	30830	70253
61	31448	69998
62	31916	69405
63	32355	68755
64	32935	68403
65	33404	67821
66	34022	67536
67	34549	67067
68	34991	66432
69	35424	65788
70	36005	65418
71	36601	65069
72	37189	64698
73	37765	64303
74	38239	63732
75	38794	63296
76	39382	62909
77	39897	62404
78	40317	61751
79	40835	61252
80	41336	60729
81	41875	60259
82	42428	59808
83	42878	59213
84	43388	58702
85	43957	58268
86	44404	57674
87	44895	57139
88	45312	56513
89	45797	55974
90	46313	55474
91	46846	54993
92	47374	54506
93	47821	53926
94	48449	53549
95	48891	52966
96	49401	52457
97	49836	51870
98	50360	51377
99	50917	50917
100	51463	50444
101	51999	49959
102	52515	49456
103	53021	48942
104	53488	48394
105	54001	47887
106	54534	47399
107	54949	46808
108	55412	46261
109	56011	45827
110	56518	45316
111	56967	44760
112	57461	44240
113	57939	43708
114	58601	43313
115	59146	42830
116	59753	42389
117	60310	41910
118	60775	41368
119	61261	40841
120	61770	40329
121	62352	39864
122	62889	39369
123	63338	38820
124	63805	38283
125	64361	37799
126	64865	37284
127	65420	36798
128	65902	36272
129	66460	35786
130	66979	35279
131	67461	34753
132	68014	34263
133	68551	33764
134	69002	33223
135	69597	32751
136	70122	32246
137	70655	31743
138	71115	31209
139	71679	30719
140	72206	30214
141	72733	29708
142	73316	29224
143	73796	28698
144	74254	28165
145	74721	27636
146	75220	27120
147	75723	26605
148	76207	26084
149	76678	25559
150	77272	25075
151	77883	24594
152	78369	24074
153	78885	23563
154	79318	23027
155	79787	22504
156	80330	22001
157	80855	21493
158	81393	20988
159	81848	20462
160	82308	19938
161	82753	19411
162	83168	18878
163	83795	18394
164	84286	17878
165	84884	17386
166	85432	16881
167	85874	16357
168	86336	15836
169	86793	15316
170	87300	14805
171	87822	14296
172	88252	13773
173	88859	13277
174	89456	12779
175	89918	12261
176	90373	11743
177	90883	11232
178	91431	10726
179	91948	10216
180	92424	9701
181	92920	9189
182	93366	8673
183	93909	8166
184	94497	7661
185	94968	7148
186	95590	6645
187	96150	6137
188	96631	5624
189	97136	5112
190	97638	4600
191	98285	4095
192	98711	3580
193	99200	3068
194	99737	2557
195	100177	2044
196	100671	1533
197	101161	1021
198	101702	511
199	102164	0
