iter	Passed	Remaining
0	70	420293
1	174	524119
2	212	424018
3	254	381715
4	378	454053
5	417	417147
6	455	389714
7	500	374743
8	622	414485
9	661	396098
10	698	380500
11	739	369212
12	842	388215
13	880	376638
14	918	366631
15	1017	380415
16	1077	379384
17	1116	371021
18	1157	364315
19	1247	373038
20	1287	366532
21	1379	374897
22	1436	373173
23	1476	367545
24	1576	376773
25	1615	371205
26	1680	371869
27	1767	377087
28	1806	371924
29	1887	375664
30	1946	374866
31	1985	370338
32	2075	375240
33	2115	371262
34	2154	367172
35	2192	363275
36	2231	359612
37	2270	356188
38	2306	352590
39	2342	349042
40	2378	345657
41	2413	342359
42	2449	339332
43	2487	336664
44	2579	341323
45	2651	343231
46	2754	348906
47	2831	351125
48	2920	354734
49	2991	356012
50	3076	358812
51	3142	359474
52	3215	360841
53	3301	363536
54	3376	365008
55	3439	365061
56	3510	366033
57	3598	368671
58	3676	370216
59	3743	370651
60	3779	367953
61	3813	365278
62	3848	362665
63	3882	360125
64	3916	357619
65	3950	355172
66	3984	352851
67	4018	350565
68	4053	348385
69	4092	346723
70	4185	349495
71	4223	347750
72	4259	345810
73	4321	346088
74	4396	347316
75	4431	345447
76	4501	346297
77	4582	347950
78	4616	345996
79	4650	344117
80	4706	343944
81	4790	345754
82	4824	343939
83	4863	342515
84	4901	341099
85	5027	345695
86	5065	344304
87	5098	342546
88	5133	340912
89	5172	339629
90	5269	342158
91	5303	340601
92	5337	338993
93	5401	339404
94	5467	339852
95	5500	338296
96	5540	337148
97	5649	340257
98	5685	338866
99	5717	337356
100	5752	335962
101	5790	334808
102	5924	339170
103	5962	338008
104	5997	336732
105	6033	335493
106	6072	334437
107	6173	336782
108	6207	335492
109	6242	334244
110	6342	336491
111	6379	335356
112	6416	334304
113	6455	333326
114	6536	334486
115	6571	333340
116	6641	333932
117	6725	335247
118	6760	334108
119	6795	333000
120	6834	332077
121	6943	334530
122	6979	333465
123	7015	332431
124	7059	331807
125	7155	333564
126	7191	332550
127	7230	331690
128	7328	333526
129	7363	332493
130	7398	331480
131	7471	332158
132	7540	332640
133	7575	331636
134	7617	330917
135	7715	332678
136	7749	331657
137	7789	330881
138	7878	332181
139	7970	333605
140	8006	332713
141	8043	331824
142	8080	330946
143	8122	330306
144	8220	331934
145	8261	331255
146	8303	330634
147	8404	332305
148	8441	331474
149	8477	330608
150	8572	332046
151	8611	331331
152	8647	330467
153	8713	330786
154	8792	331546
155	8829	330776
156	8869	330087
157	8963	331426
158	9001	330674
159	9044	330112
160	9175	332761
161	9215	332083
162	9253	331360
163	9291	330628
164	9377	331633
165	9416	330943
166	9457	330344
167	9548	331462
168	9585	330731
169	9678	331922
170	9734	331824
171	9772	331131
172	9817	330658
173	9940	332850
174	9980	332221
175	10019	331545
176	10059	330942
177	10158	332266
178	10208	331976
179	10247	331322
180	10290	330831
181	10393	332258
182	10442	331947
183	10485	331434
184	10525	330828
185	10568	330359
186	10666	331567
187	10706	330976
188	10748	330472
189	10856	331966
190	10895	331373
191	10934	330777
192	11006	331171
193	11097	332117
194	11137	331559
195	11176	330946
196	11220	330513
197	11307	331348
198	11350	330863
199	11433	331563
200	11470	330941
201	11552	331592
202	11610	331569
203	11649	330994
204	11721	331352
205	11811	332218
206	11851	331657
207	11889	331085
208	11934	330674
209	12049	332208
210	12089	331693
211	12128	331141
212	12172	330704
213	12283	332120
214	12332	331827
215	12370	331255
216	12407	330656
217	12450	330218
218	12565	331702
219	12604	331164
220	12641	330560
221	12678	329990
222	12755	330439
223	12819	330547
224	12855	329945
225	12889	329305
226	12954	329458
227	13034	329977
228	13074	329488
229	13117	329084
230	13210	329908
231	13245	329307
232	13286	328850
233	13393	330029
234	13430	329472
235	13467	328937
236	13522	328828
237	13598	329226
238	13635	328685
239	13735	329663
240	13773	329136
241	13810	328607
242	13852	328179
243	13961	329347
244	13998	328830
245	14034	328276
246	14076	327854
247	14184	328980
248	14222	328495
249	14260	327981
250	14302	327590
251	14390	328246
252	14427	327721
253	14470	327341
254	14599	328915
255	14640	328485
256	14678	328017
257	14717	327542
258	14759	327156
259	14864	328151
260	14903	327715
261	14943	327283
262	15012	327470
263	15074	327523
264	15115	327117
265	15238	328492
266	15281	328124
267	15320	327679
268	15359	327238
269	15403	326891
270	15521	328120
271	15561	327705
272	15600	327272
273	15643	326912
274	15749	327871
275	15788	327439
276	15827	327002
277	15870	326649
278	16003	328163
279	16044	327772
280	16081	327294
281	16119	326851
282	16161	326481
283	16249	327057
284	16287	326613
285	16378	327231
286	16417	326805
287	16460	326472
288	16576	327580
289	16614	327143
290	16652	326695
291	16693	326325
292	16811	327456
293	16851	327056
294	16886	326567
295	16921	326087
296	17009	326616
297	17044	326126
298	17092	325902
299	17202	326850
300	17239	326408
301	17276	325955
